# ::snt dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::tok dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::alignments 25-26|0.0.1.0.1 23-24|0.0.1.0.0+0.0.1.0 21-22|0.0.1 20-21|0.3.0.0 17-18|0.3.0 16-17|0.3 11-12|0.1 9-10|0.1.0 6-7|0.0.0+0.0 5-6|0.0.3 4-5|0.0.2 3-4|0 2-3|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:38.327
# ::node	0	accuse-01	3-4
# ::node	0.0	person	6-7
# ::node	0.0.0	serve-02	6-7
# ::node	0.0.1	arrest-01	21-22
# ::node	0.0.1.0	have-org-role-91	23-24
# ::node	0.0.1.0.0	official	23-24
# ::node	0.0.1.0.1	north	25-26
# ::node	0.0.2	senior	4-5
# ::node	0.0.3	civil	5-6
# ::node	0.1	plot-01	11-12
# ::node	0.1.0	north	9-10
# ::node	0.2	also	2-3
# ::node	0.3	and	16-17
# ::node	0.3.0	encourage-01	17-18
# ::node	0.3.0.0	and	20-21
# ::root	0	accuse-01
# ::edge	accuse-01	ARG1	person	0	0.0	
# ::edge	accuse-01	ARG2	plot-01	0	0.1	
# ::edge	accuse-01	mod	also	0	0.2	
# ::edge	and	op1	accuse-01	0.3	0	
# ::edge	arrest-01	ARG1	person	0.0.1	0.0	
# ::edge	arrest-01	time	have-org-role-91	0.0.1	0.0.1.0	
# ::edge	encourage-01	ARG1	and	0.3.0	0.3.0.0	
# ::edge	encourage-01	ARG2	and	0.3.0	0.3	
# ::edge	have-org-role-91	ARG2	official	0.0.1.0	0.0.1.0.0	
# ::edge	have-org-role-91	location	north	0.0.1.0	0.0.1.0.1	
# ::edge	person	mod	civil	0.0	0.0.3	
# ::edge	person	mod	senior	0.0	0.0.2	
# ::edge	plot-01	ARG0	north	0.1	0.1.0	
# ::edge	serve-02	ARG0	person	0.0.0	0.0	
(a4 / accuse-01 
# ::edge	hole	location	floor	0.0.1.0.0	0.0.1.0.0.1	
# ::edge	hole	mod	trade-01	0.0.1.0	0.0.1	
# ::edge	hole	topic	hole	0.0.1.0.0	0.0.1.0	
# ::edge	introduce-02	ARG1	compress-01	0	0.0	
# ::edge	introduce-02	ARG2	press	0	0.1	
# ::edge	suspend-01	ARG2	hole	0.0.1.0.0.0	0.0.1.0.0	
# ::edge	until	op1	introduce-02	0.2	0	
(i / introduce-02 
      :ARG1 (c / compress-01 
            :ARG0 (m / man) 
            :ARG1 (t / trade-01 
                  :mod-of (h / hole 
                        :topic-of (h2 / hole 
                              :ARG2-of (s / suspend-01) 
                              :location (f / floor))))) 
      :ARG2 (p / press) 
      :op-of (u / until))

# ::snt anyway it was in silence and perhaps a couple of millimetres further apart than usual that they made their way past the classy handpainted bettingshop something called just a healing centre the pullover shop where you were not allowed to try on the pullovers a very great number of bulging and bursting black sacks and a firm of estate agents apparently aiming for the oilsheikh section of the market
# ::tok anyway it was in silence and perhaps a couple of millimetres further apart than usual that they made their way past the classy handpainted bettingshop something called just a healing centre the pullover shop where you were not allowed to try on the pullovers a very great number of bulging and bursting black sacks and a firm of estate agents apparently aiming for the oilsheikh section of the market
# ::alignments 68-69|0.1.0 65-66|0.1 61-62|0 60-61|0.2 59-60|0.0 58-59|0.0.0 56-57|0.3.3.0 54-55|0.3.3 52-53|0.3.2 50-51|0.3 47-48|0.3.1 46-47|0.3.1.0 45-46|0.3.1.0.0 40-41|0.3.0 38-39|0.3.0.1 35-36|0.3.0.0 33-34|0.3.0.1.0 27-28|0.3.0.2.2.0.2 25-26|0.3.0.2.2 22-23|0.3.0.2.2.1 20-21|0.3.0.2.0 19-20|0.3.0.2 16-17|0.3.0.2.1 14-15|0.3.0.1.1 12-13|0.3.0.1.1.0 11-12|0.3.0.1.1.0.0 8-9|0.3.0.2.2.0.1.0.0 6-7|0.3.0.2.2.0.1.0 5-6|0.3.0.2.2.0.1 4-5|0.3.0.2.2.0 1-2|0.3.0.2.2.0.0 0-1|0.3.0.2.2.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:50.964
# ::node	0	aim-01	61-62
# ::node	0.0	agent	59-60
# ::node	0.0.0	estate	58-59
# ::node	0.1	section	65-66
# ::node	0.1.0	market	68-69
# ::node	0.2	apparent	60-61
# ::node	0.3	and	50-51
# ::node	0.3.0	try-01	40-41
# ::node	0.3.0.0	you	35-36
# ::node	0.3.0.1	allow-01	38-39
# ::node	0.3.0.1.0	shop	33-34
# ::node	0.3.0.1.1	usual	14-15
# ::node	0.3.0.1.1.0	apart	12-13
# ::node	0.3.0.1.1.0.0	further	11-12
# ::node	0.3.0.2	way	19-20
# ::node	0.3.0.2.0	past	20-21
# ::node	0.3.0.2.1	they	16-17
# ::node	0.3.0.2.2	something	25-26
# ::node	0.3.0.2.2.0	silence-01	4-5
# ::node	0.3.0.2.2.0.0	it	1-2
# ::node	0.3.0.2.2.0.0.0	anyway	0-1
# ::node	0.3.0.2.2.0.1	and	5-6
# ::node	0.3.0.2.2.0.1.0	perhaps	6-7
# ::node	0.3.0.2.2.0.1.0.0	couple	8-9
# ::node	0.3.0.2.2.0.2	just	27-28
# ::node	0.3.0.2.2.1	classy	22-23
# ::node	0.3.1	number	47-48
# ::node	0.3.1.0	great	46-47
# ::node	0.3.1.0.0	very	45-46
# ::node	0.3.2	black	52-53
# ::node	0.3.3	and	54-55
# ::node	0.3.3.0	firm	56-57
# ::root	0	aim-01
# ::edge	agent	mod	estate	0.0	0.0.0	
# ::edge	aim-01	ARG0	agent	0	0.0	
# ::edge	aim-01	ARG2	section	0	0.1	
# ::edge	aim-01	manner	apparent	0	0.2	
# ::edge	allow-01	ARG0	shop	0.3.0.1	0.3.0.1.0	
# ::edge	allow-01	ARG1	try-01	0.3.0.1	0.3.0	
# ::edge	and	op1	black	0.3	0.3.2	
# ::edge	and	op1	firm	0.3.3	0.3.3.0	
# ::edge	and	op1	silence-01	0.3.0.2.2.0.1	0.3.0.2.2.0	
# ::edge	and	op2	and	0.3	0.3.3	
# ::edge	and	op2	perhaps	0.3.0.2.2.0.1	0.3.0.2.2.0.1.0	
# ::edge	and	op3	aim-01	0.3	0	
# ::edge	anyway	degree	it	0.3.0.2.2.0.0.0	0.3.0.2.2.0.0	
# ::edge	apart	degree	usual	0.3.0.1.1.0	0.3.0.1.1	
# ::edge	apart	mod	further	0.3.0.1.1.0	0.3.0.1.1.0.0	
# ::edge	couple	mod	perhaps	0.3.0.2.2.0.1.0.0	0.3.0.2.2.0.1.0	
# ::edge	great	degree	very	0.3.1.0	0.3.1.0.0	
# ::edge	just	op1	silence-01	0.3.0.2.2.0.2	0.3.0.2.2.0	
# ::edge	number	domain	and	0.3.1	0.3	
# ::edge	number	mod	great	0.3.1	0.3.1.0	
# ::edge	section	location	market	0.1	0.1.0	
# ::edge	silence-01	ARG0	it	0.3.0.2.2.0	0.3.0.2.2.0.0	
# ::edge	silence-01	ARG1	something	0.3.0.2.2.0	0.3.0.2.2	
# ::edge	something	mod	classy	0.3.0.2.2	0.3.0.2.2.1	
# ::edge	try-01	ARG0	you	0.3.0	0.3.0.0	
# ::edge	try-01	ARG1	and	0.3.0	0.3	
# ::edge	usual	op1	allow-01	0.3.0.1.1	0.3.0.1	
# ::edge	way	destination	past	0.3.0.2	0.3.0.2.0	
# ::edge	way	op1	try-01	0.3.0.2	0.3.0	
# ::edge	way	poss	they	0.3.0.2	0.3.0.2.1	
# ::edge	way	prep-with	something	0.3.0.2	0.3.0.2.2	
(a / aim-01 
      :ARG0 (a3 / agent 
            :mod (e / estate)) 
      :ARG2 (s / section 
            :location (m / market)) 
      :manner (a2 / apparent) 
      :op-of (a5 / and 
            :ARG1-of (t / try-01 
                  :ARG0 (y / you) 
                  :ARG1-of (a6 / allow-01 
                        :ARG0 (s2 / shop) 
                        :op-of (u / usual 
                              :degree-of (a7 / apart 
                                    :mod (f2 / further)))) 
                  :op-of (w / way 
                        :destination (p / past) 
                        :poss (t2 / they) 
                        :prep-with (s3 / something 
                              :ARG1-of (s4 / silence-01 
                                    :ARG0 (i / it 
                                          :degree-of (a9 / anyway)) 
                                    :op-of (a8 / and 
                                          :op1 (p2 / perhaps 
                                                :mod-of (c2 / couple))) 
                                    :op-of (j / just)) 
                              :mod (c / classy)))) 
            :domain-of (n / number 
                  :mod (g / great 
                        :degree (v / very))) 
            :op1 (b / black) 
            :op2 (a4 / and 
                  :op1 (f / firm))))

# ::snt the sacking in the early hours yesterday of more party hardliners appeared not to have affected the determination to press for more change
# ::tok the sacking in the early hours yesterday of more party hardliners appeared not to have affected the determination to press for more change
# ::alignments 22-23|0.1.0.0.0 19-20|0.1.0.0 17-18|0.1.0 15-16|0.1 11-12|0 9-10|0.1.0.0.0.0 6-7|0.0 5-6|0.0.0.0+0.0.0 4-5|0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:51.060
# ::node	0	appear-01	11-12
# ::node	0.0	yesterday	6-7
# ::node	0.0.0	temporal-quantity	5-6
# ::node	0.0.0.0	hour	5-6
# ::node	0.0.0.0.0	early	4-5
# ::node	0.1	affect-01	15-16
# ::node	0.1.0	determine-01	17-18
# ::node	0.1.0.0	press	19-20
# ::node	0.1.0.0.0	change-01	22-23
# ::node	0.1.0.0.0.0	party	9-10
# ::root	0	appear-01
# ::edge	affect-01	ARG1	determine-01	0.1	0.1.0	
# ::edge	appear-01	ARG1	yesterday	0	0.0	
# ::edge	appear-01	ARG2	affect-01	0	0.1	
# ::edge	change-01	ARG0	party	0.1.0.0.0	0.1.0.0.0.0	
# ::edge	determine-01	ARG1	press	0.1.0	0.1.0.0	
# ::edge	hour	mod	early	0.0.0.0	0.0.0.0.0	
# ::edge	press	purpose	change-01	0.1.0.0	0.1.0.0.0	
# ::edge	temporal-quantity	unit	hour	0.0.0	0.0.0.0	
# ::edge	yesterday	duration	temporal-quantity	0.0	0.0.0	
(a2 / appear-01 
      :ARG1 (y / yesterday 
            :duration (t / temporal-quantity 
                  :unit (h / hour 
                        :mod (e / early)))) 
      :ARG2 (a / affect-01 
            :ARG1 (d / determine-01 
                  :ARG1 (p / press 
                        :purpose (c / change-01 
                              :ARG0 (p2 / party))))))

# ::snt some of the sacks were known to contain registered post
# ::tok some of the sacks were known to contain registered post
# ::alignments 9-10|0.1.0 8-9|0.1.0.0 7-8|0.1 5-6|0 0-1|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:51.103
# ::node	0	know-01	5-6
# ::node	0.0	some	0-1
# ::node	0.1	contain-01	7-8
# ::node	0.1.0	post	9-10
# ::node	0.1.0.0	register-02	8-9
# ::root	0	know-01
# ::edge	contain-01	ARG1	post	0.1	0.1.0	
# ::edge	know-01	ARG0	some	0	0.0	
# ::edge	know-01	ARG1	contain-01	0	0.1	
# ::edge	register-02	ARG1	post	0.1.0.0	0.1.0	
(k / know-01 
      :ARG0 (s / some) 
      :ARG1 (c / contain-01 
            :ARG1 (p / post 
                  :ARG1-of (r / register-02))))

# ::snt mr worsley alleged that mr mackay told miss saunders that he would dump her corpse in a sack on hampstead heath and no one would ever suspect him
# ::tok mr worsley alleged that mr mackay told miss saunders that he would dump her corpse in a sack on hampstead heath and no one would ever suspect him
# ::alignments 26-27|0.2 25-26|0.2.1 22-23|0.0.0.0 21-22|0 19-21|0.1.0.0+0.1.0.1+0.1.0+0.1 10-11|0.2.0 6-7|0.0 2-3|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:51.161
# ::node	0	and	21-22
# ::node	0.0	tell-01	6-7
# ::node	0.0.0	allege-01	2-3
# ::node	0.0.0.0	-	22-23
# ::node	0.1	country	19-21
# ::node	0.1.0	name	19-21
# ::node	0.1.0.0	"heath"	19-21
# ::node	0.1.0.1	"hampstead"	19-21
# ::node	0.2	suspect-01	26-27
# ::node	0.2.0	he	10-11
# ::node	0.2.1	ever	25-26
# ::root	0	and
# ::edge	allege-01	ARG1	-	0.0.0	0.0.0.0	
# ::edge	and	op1	country	0	0.1	
# ::edge	and	op2	suspect-01	0	0.2	
# ::edge	country	name	name	0.1	0.1.0	
# ::edge	name	op1	"heath"	0.1.0	0.1.0.0	
# ::edge	name	op2	"hampstead"	0.1.0	0.1.0.1	
# ::edge	suspect-01	ARG0	he	0.2	0.2.0	
# ::edge	suspect-01	time	ever	0.2	0.2.1	
# ::edge	tell-01	ARG0	allege-01	0.0	0.0.0	
# ::edge	tell-01	ARG1	and	0.0	0	
(a / and 
      :ARG1-of (t / tell-01 
            :ARG0 (a2 / allege-01 
                  :ARG1 (- / -))) 
      :op1 (c / country 
            :name (n / name 
                  :op1 "heath" 
                  :op2 "hampstead")) 
      :op2 (s / suspect-01 
            :ARG0 (h / he) 
            :time (e / ever)))

# ::snt sackings may proliferate elsewhere
# ::tok sackings may proliferate elsewhere
# ::alignments 3-4|0 1-2|0.0.0+0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:51.168
# ::node	0	elsewhere	3-4
# ::node	0.0	date-entity	1-2
# ::node	0.0.0	5	1-2
# ::root	0	elsewhere
(e / elsewhere 
      :time-of (d / date-entity 
            :month 5))

# ::snt it was as though the clouds were not themselves mere vapour but impermeable sagging sacks purposely constructed and hung to contain water
# ::tok it was as though the clouds were not themselves mere vapour but impermeable sagging sacks purposely constructed and hung to contain water
# ::alignments 21-22|0.0.2.0.0.0 20-21|0.0.2.0.0 18-19|0.0.2.0 17-18|0.0.2 16-17|0.0 15-16|0.0.2.0.1 11-12|0 9-10|0.0.0 0-1|0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:51.252
# ::node	0	contrast-01	11-12
# ::node	0.0	construct-01	16-17
# ::node	0.0.0	mere	9-10
# ::node	0.0.1	it	0-1
# ::node	0.0.2	and	17-18
# ::node	0.0.2.0	hang-04	18-19
# ::node	0.0.2.0.0	contain-01	20-21
# ::node	0.0.2.0.0.0	water	21-22
# ::node	0.0.2.0.1	purpose	15-16
# ::root	0	contrast-01
# ::edge	and	op1	construct-01	0.0.2	0.0	
# ::edge	and	op2	hang-04	0.0.2	0.0.2.0	
# ::edge	construct-01	ARG0	mere	0.0	0.0.0	
# ::edge	construct-01	ARG1	it	0.0	0.0.1	
# ::edge	contain-01	ARG1	water	0.0.2.0.0	0.0.2.0.0.0	
# ::edge	contrast-01	ARG1	construct-01	0	0.0	
# ::edge	hang-04	ARG1	contain-01	0.0.2.0	0.0.2.0.0	
# ::edge	hang-04	degree	purpose	0.0.2.0	0.0.2.0.1	
(c3 / contrast-01 
      :ARG1 (c2 / construct-01 
            :ARG0 (m / mere) 
            :ARG1 (i / it) 
            :op-of (a / and 
                  :op1 (h / hang-04 
                        :ARG1 (c / contain-01 
                              :ARG1 (w / water)) 
                        :degree (p / purpose)))))

# ::snt why didnt they wait for the passengers to get off first instead of squeezing themselves their sacks of wheat and bicycles on at the same time that others were dragging their possessions off
# ::tok why didnt they wait for the passengers to get off first instead of squeezing themselves their sacks of wheat and bicycles on at the same time that others were dragging their possessions off
# ::alignments 32-33|0.2 31-32|0.1 29-30|0 27-28|0.0 25-26|0.1.0 24-25|0.1.0.0 19-20|0.1.0.0.2 18-19|0.1.0.0.2.0 11-12|0.1.0.0.1.0 9-10|0.1.0.0.0 6-7|0.1.0.0.1.2 3-4|0.1.0.0.1 2-3|0.1.0.0.1.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:51.433
# ::node	0	drag-01	29-30
# ::node	0.0	other	27-28
# ::node	0.1	possession	31-32
# ::node	0.1.0	time	25-26
# ::node	0.1.0.0	same-41	24-25
# ::node	0.1.0.0.0	off	9-10
# ::node	0.1.0.0.1	wait-01	3-4
# ::node	0.1.0.0.1.0	instead	11-12
# ::node	0.1.0.0.1.1	they	2-3
# ::node	0.1.0.0.1.2	passenger	6-7
# ::node	0.1.0.0.2	and	19-20
# ::node	0.1.0.0.2.0	wheat	18-19
# ::node	0.2	off	32-33
# ::root	0	drag-01
# ::edge	and	op1	wheat	0.1.0.0.2	0.1.0.0.2.0	
# ::edge	and	op2	same-41	0.1.0.0.2	0.1.0.0	
# ::edge	drag-01	ARG0	other	0	0.0	
# ::edge	drag-01	ARG1	possession	0	0.1	
# ::edge	drag-01	ARG2	off	0	0.2	
# ::edge	possession	poss	time	0.1	0.1.0	
# ::edge	same-41	ARG0	off	0.1.0.0	0.1.0.0.0	
# ::edge	same-41	ARG1	time	0.1.0.0	0.1.0	
# ::edge	same-41	ARG2	wait-01	0.1.0.0	0.1.0.0.1	
# ::edge	wait-01	ARG0	instead	0.1.0.0.1	0.1.0.0.1.0	
# ::edge	wait-01	ARG1	they	0.1.0.0.1	0.1.0.0.1.1	
# ::edge	wait-01	ARG2	passenger	0.1.0.0.1	0.1.0.0.1.2	
(d / drag-01 
      :ARG0 (o2 / other) 
      :ARG1 (p / possession 
            :poss (t / time 
                  :ARG1-of (s / same-41 
                        :ARG0 (o3 / off) 
                        :ARG2 (w2 / wait-01 
                              :ARG0 (i / instead) 
                              :ARG1 (t2 / they) 
                              :ARG2 (p2 / passenger)) 
                        :op-of (a / and 
                              :op1 (w / wheat))))) 
      :ARG2 (o / off))

# ::snt cavill heugh the australian forward disillusioned at barrow following the sacking of rod reddy has agreed to join leeds when his contract expires next month
# ::tok cavill heugh the australian forward disillusioned at barrow following the sacking of rod reddy has agreed to join leeds when his contract expires next month
# ::alignments 24-25|0.0.0.0+0.0.0 23-24|0.0.0.0.0 21-22|0.1 17-18|0.0 15-16|0 5-6|0.0.1 4-5|0.0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:51.485
# ::node	0	agree-01	15-16
# ::node	0.0	join-01	17-18
# ::node	0.0.0	temporal-quantity	24-25
# ::node	0.0.0.0	month	24-25
# ::node	0.0.0.0.0	next	23-24
# ::node	0.0.1	disillusion-01	5-6
# ::node	0.0.1.0	forward	4-5
# ::node	0.1	contract-02	21-22
# ::root	0	agree-01
# ::edge	agree-01	ARG1	join-01	0	0.0	
# ::edge	contract-02	ARG1	agree-01	0.1	0	
# ::edge	disillusion-01	ARG1	join-01	0.0.1	0.0	
# ::edge	disillusion-01	mod	forward	0.0.1	0.0.1.0	
# ::edge	join-01	ARG1	temporal-quantity	0.0	0.0.0	
# ::edge	month	mod	next	0.0.0.0	0.0.0.0.0	
# ::edge	temporal-quantity	unit	month	0.0.0	0.0.0.0	
(a / agree-01 
      :ARG1 (j / join-01 
            :ARG1 (t / temporal-quantity 
                  :unit (m / month 
                        :mod (n / next))) 
            :ARG1-of (d / disillusion-01 
                  :mod (f / forward))) 
      :ARG1-of (c / contract-02))

# ::snt angry crowds were invited to question politicians at open meetings further sackings and resignations were announced even more astonishingly the countrys new leader egon krenz flew to moscow where he embraced both mikhail gorbachev and the policies for which he stands
# ::tok angry crowds were invited to question politicians at open meetings further sackings and resignations were announced even more astonishingly the countrys new leader egon krenz flew to moscow where he embraced both mikhail gorbachev and the policies for which he stands
# ::alignments 39-40|0.1.0 36-37|0.1 34-35|0 31-32|0.0.0.0.0.0.0.0.0.0 29-30|0.0 25-26|0.0.0 23-25|0.0.0.0.3.0+0.0.0.0.3.1+0.0.0.0.3+0.0.0.0 22-23|0.0.0.0.1+0.0.0.0.1.0 21-22|0.0.0.0.2 15-16|0.0.0.0.0 12-13|0.0.0.0.0.0 10-11|0.0.0.0.0.0.1 9-10|0.0.0.0.0.0.0.0.0 6-7|0.0.0.0.0.0.0.1 5-6|0.0.0.0.0.0.2 3-4|0.0.0.0.0.0.0 1-2|0.0.0.0.0.0.0.0 0-1|0.0.0.0.0.0.0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:52.568
# ::node	0	and	34-35
# ::node	0.0	he	29-30
# ::node	0.0.0	fly-01	25-26
# ::node	0.0.0.0	person	23-25
# ::node	0.0.0.0.0	announce-01	15-16
# ::node	0.0.0.0.0.0	and	12-13
# ::node	0.0.0.0.0.0.0	invite-01	3-4
# ::node	0.0.0.0.0.0.0.0	crowd	1-2
# ::node	0.0.0.0.0.0.0.0.0	meet-03	9-10
# ::node	0.0.0.0.0.0.0.0.0.0	both	31-32
# ::node	0.0.0.0.0.0.0.0.1	angry	0-1
# ::node	0.0.0.0.0.0.0.1	politician	6-7
# ::node	0.0.0.0.0.0.1	further	10-11
# ::node	0.0.0.0.0.0.2	question-01	5-6
# ::node	0.0.0.0.1	lead-02	22-23
# ::node	0.0.0.0.1.0	person	22-23
# ::node	0.0.0.0.2	new	21-22
# ::node	0.0.0.0.3	name	23-25
# ::node	0.0.0.0.3.0	"krenz"	23-25
# ::node	0.0.0.0.3.1	"egon"	23-25
# ::node	0.1	policy	36-37
# ::node	0.1.0	he	39-40
# ::root	0	and
# ::edge	and	degree	further	0.0.0.0.0.0	0.0.0.0.0.0.1	
# ::edge	and	op1	he	0	0.0	
# ::edge	and	op1	question-01	0.0.0.0.0.0	0.0.0.0.0.0.2	
# ::edge	and	op2	policy	0	0.1	
# ::edge	announce-01	ARG0	person	0.0.0.0.0	0.0.0.0	
# ::edge	announce-01	ARG1	and	0.0.0.0.0	0.0.0.0.0.0	
# ::edge	crowd	mod	angry	0.0.0.0.0.0.0.0	0.0.0.0.0.0.0.0.1	
# ::edge	fly-01	ARG0	he	0.0.0	0.0	
# ::edge	fly-01	ARG1	person	0.0.0	0.0.0.0	
# ::edge	invite-01	ARG0	and	0.0.0.0.0.0.0	0.0.0.0.0.0	
# ::edge	invite-01	ARG1	crowd	0.0.0.0.0.0.0	0.0.0.0.0.0.0.0	
# ::edge	invite-01	ARG2	politician	0.0.0.0.0.0.0	0.0.0.0.0.0.0.1	
# ::edge	lead-02	ARG0	person	0.0.0.0.1	0.0.0.0.1.0	
# ::edge	lead-02	ARG1	person	0.0.0.0.1	0.0.0.0	
# ::edge	meet-03	ARG0	crowd	0.0.0.0.0.0.0.0.0	0.0.0.0.0.0.0.0	
# ::edge	meet-03	ARG1	both	0.0.0.0.0.0.0.0.0	0.0.0.0.0.0.0.0.0.0	
# ::edge	name	op1	"krenz"	0.0.0.0.3	0.0.0.0.3.0	
# ::edge	name	op2	"egon"	0.0.0.0.3	0.0.0.0.3.1	
# ::edge	person	mod	new	0.0.0.0	0.0.0.0.2	
# ::edge	person	name	name	0.0.0.0	0.0.0.0.3	
# ::edge	policy	poss	he	0.1	0.1.0	
(a / and 
      :op1 (h2 / he 
            :ARG0-of (f / fly-01 
                  :ARG1 (p2 / person 
                        :ARG0-of (a2 / announce-01 
                              :ARG1 (a3 / and 
                                    :ARG0-of (i / invite-01 
                                          :ARG1 (c / crowd 
                                                :ARG0-of (m / meet-03 
                                                      :ARG1 (b / both)) 
                                                :mod (a4 / angry)) 
                                          :ARG2 (p4 / politician)) 
                                    :degree (f2 / further) 
                                    :op1 (q / question-01))) 
                        :ARG1-of (l / lead-02 
                              :ARG0 (p3 / person)) 
                        :mod (n2 / new) 
                        :name (n / name 
                              :op1 "krenz" 
                              :op2 "egon")))) 
      :op2 (p / policy 
            :poss (h / he)))

# ::snt they lived in and around the outer fringes of the town near the brothels in huts of tin fruit boxes sacking or stone
# ::tok they lived in and around the outer fringes of the town near the brothels in huts of tin fruit boxes sacking or stone
# ::alignments 22-23|0.0.2.1 21-22|0.0.2 19-20|0.0.2.0.1 18-19|0.0.2.0 17-18|0.0.2.0.0 13-14|0.0.2.2.0.0 11-12|0.0.2.2.0 10-11|0.0.2.2 6-7|0.0.1 4-5|0.1 3-4|0 1-2|0.0 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:52.687
# ::node	0	and	3-4
# ::node	0.0	live-01	1-2
# ::node	0.0.0	they	0-1
# ::node	0.0.1	outer	6-7
# ::node	0.0.2	or	21-22
# ::node	0.0.2.0	fruit	18-19
# ::node	0.0.2.0.0	tin	17-18
# ::node	0.0.2.0.1	box	19-20
# ::node	0.0.2.1	stone	22-23
# ::node	0.0.2.2	town	10-11
# ::node	0.0.2.2.0	near	11-12
# ::node	0.0.2.2.0.0	brothel	13-14
# ::node	0.1	around	4-5
# ::root	0	and
# ::edge	and	op1	live-01	0	0.0	
# ::edge	and	op2	around	0	0.1	
# ::edge	fruit	mod	tin	0.0.2.0	0.0.2.0.0	
# ::edge	fruit	source	box	0.0.2.0	0.0.2.0.1	
# ::edge	live-01	ARG0	they	0.0	0.0.0	
# ::edge	live-01	ARG1	outer	0.0	0.0.1	
# ::edge	near	op1	brothel	0.0.2.2.0	0.0.2.2.0.0	
# ::edge	or	op1	live-01	0.0.2	0.0	
# ::edge	or	op2	fruit	0.0.2	0.0.2.0	
# ::edge	or	op3	stone	0.0.2	0.0.2.1	
# ::edge	town	location	near	0.0.2.2	0.0.2.2.0	
# ::edge	town	topic	or	0.0.2.2	0.0.2	
(a2 / and 
      :op1 (l / live-01 
            :ARG0 (t3 / they) 
            :ARG1 (o2 / outer) 
            :op-of (o / or 
                  :op1 (f / fruit 
                        :mod (t / tin) 
                        :source (b / box)) 
                  :op2 (s / stone) 
                  :topic-of (t2 / town 
                        :location (n / near 
                              :op1 (b2 / brothel))))) 
      :op2 (a / around))

# ::snt   the return had also been influenced strongly by letters threatening dockers with the sack if they did not go back
# ::tok the return had also been influenced strongly by letters threatening dockers with the sack if they did not go back
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:52.688
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt other clauses demand freedom for political prisoners and medical treatment for wounded guerrillas as well as the sacking of seven top military officers including the chief of staff colonel rene ponce and the airforce chief general rafael bustillo
# ::tok other clauses demand freedom for political prisoners and medical treatment for wounded guerrillas as well as the sacking of seven top military officers including the chief of staff colonel rene ponce and the airforce chief general rafael bustillo
