# ::snt labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::tok labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::alignments 40-41|0.1.0.3.1 39-40|0.1.0.3.1.0 36-37|0.1.0.3 35-36|0.1.0.3.2 32-33|0.1.0.3.0 30-31|0.1.0.0.0.0 29-30|0.1.0.0.0 28-29|0.1.0.0.1.0 25-26|0.1.0.0.1 23-24|0.1.1 22-23|0 20-21|0.1 19-20|0.1.0.1 18-19|0.1.0 17-18|0.1.0.0.2 15-16|0.1.0.0 11-12|0.1.0.2 9-10|0.1.0.2.0 8-9|0.0.2.0 7-8|0.0.2 3-4|0.0.1.0 2-3|0.0.1 1-2|0.0 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:01.262
# ::node	0	and	22-23
# ::node	0.0	and	1-2
# ::node	0.0.0	labour	0-1
# ::node	0.0.1	liberal	2-3
# ::node	0.0.1.0	county	3-4
# ::node	0.0.2	spend-01	7-8
# ::node	0.0.2.0	level	8-9
# ::node	0.1	or	20-21
# ::node	0.1.0	consider-01	18-19
# ::node	0.1.0.0	department	15-16
# ::node	0.1.0.0.0	propose-01	29-30
# ::node	0.1.0.0.0.0	year	30-31
# ::node	0.1.0.0.1	exceed-01	25-26
# ::node	0.1.0.0.1.0	budget	28-29
# ::node	0.1.0.0.2	environment	17-18
# ::node	0.1.0.1	reasonable	19-20
# ::node	0.1.0.2	exceed-01	11-12
# ::node	0.1.0.2.0	far	9-10
# ::node	0.1.0.3	group	36-37
# ::node	0.1.0.3.0	year	32-33
# ::node	0.1.0.3.1	council	40-41
# ::node	0.1.0.3.1.0	county	39-40
# ::node	0.1.0.3.2	conservative	35-36
# ::node	0.1.1	far	23-24
# ::root	0	and
(a / and 
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt should the wastegate jam shut the bosch lhjetronic fuel injection senses an excess of intake air for the engine speed and throttle opening and cuts the fuel supply
# ::tok should the wastegate jam shut the bosch lhjetronic fuel injection senses an excess of intake air for the engine speed and throttle opening and cuts the fuel supply
# ::alignments 27-28|0.3.3.0 26-27|0.3.3.0.0 24-25|0.3.3 23-24|0.3 22-23|0.3.2 20-21|0.3.3.1 19-20|0.3.3.1.0 18-19|0.3.3.1.0.0 15-16|0.3.1.0 14-15|0.3.2.0 12-13|0.3.1 10-11|0.3.0 9-10|0.1 8-9|0.1.0 4-5|0 3-4|0.0 0-1|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:43.184
# ::node	0	shut-05	4-5
# ::node	0.0	jam-01	3-4
# ::node	0.1	inject-01	9-10
# ::node	0.1.0	fuel	8-9
# ::node	0.2	recommend-01	0-1
# ::node	0.3	and	23-24
# ::node	0.3.0	sense	10-11
# ::node	0.3.1	exceed-01	12-13
# ::node	0.3.1.0	air	15-16
# ::node	0.3.2	open-01	22-23
# ::node	0.3.2.0	take-01	14-15
# ::node	0.3.3	cut-02	24-25
# ::node	0.3.3.0	supply-01	27-28
# ::node	0.3.3.0.0	fuel	26-27
# ::node	0.3.3.1	and	20-21
# ::node	0.3.3.1.0	speed	19-20
# ::node	0.3.3.1.0.0	engine	18-19
# ::root	0	shut-05
# ::edge	and	op1	shut-05	0.3	0	
# ::edge	and	op1	speed	0.3.3.1	0.3.3.1.0	
# ::edge	and	op2	cut-02	0.3.3.1	0.3.3	
# ::edge	and	op2	sense	0.3	0.3.0	
# ::edge	and	op3	exceed-01	0.3	0.3.1	
# ::edge	and	op4	open-01	0.3	0.3.2	
# ::edge	and	op5	cut-02	0.3	0.3.3	
# ::edge	cut-02	ARG1	supply-01	0.3.3	0.3.3.0	
# ::edge	exceed-01	ARG1	air	0.3.1	0.3.1.0	
# ::edge	inject-01	mod	fuel	0.1	0.1.0	
# ::edge	recommend-01	ARG1	shut-05	0.2	0	
# ::edge	shut-05	ARG0	jam-01	0	0.0	
# ::edge	shut-05	ARG1	inject-01	0	0.1	
# ::edge	speed	mod	engine	0.3.3.1.0	0.3.3.1.0.0	
# ::edge	supply-01	ARG1	fuel	0.3.3.0	0.3.3.0.0	
# ::edge	take-01	ARG1	open-01	0.3.2.0	0.3.2	
(s4 / shut-05 
      :ARG0 (j / jam-01) 
      :ARG1 (i / inject-01 
            :mod (f2 / fuel)) 
      :ARG1-of (r / recommend-01) 
      :op-of (a / and 
            :op1 (s3 / sense) 
            :op2 (e2 / exceed-01 
                  :ARG1 (a3 / air)) 
            :op3 (o / open-01 
                  :ARG1-of (t / take-01)) 
            :op4 (c / cut-02 
                  :ARG1 (s / supply-01 
                        :ARG1 (f / fuel)) 
                  :op-of (a2 / and 
                        :op1 (s2 / speed 
                              :mod (e / engine))))))

# ::snt virgin last night refused to comment but estimates are that the deal could be worth well in excess of 50m making it one of the largest investments by a japanese organisation in a uk company
# ::tok virgin last night refused to comment but estimates are that the deal could be worth well in excess of 50m making it one of the largest investments by a japanese organisation in a uk company
# ::alignments 34-35|0.0.1.0.0 30-31|0.0.1.0 26-27|0.0.1 25-26|0.0.1.1.0+0.0.1.1 21-22|0.1.0 17-18|0.0.1.0.1 15-16|0.0.1.0.1.0 14-15|0.1.1 12-13|0.1.1.0 11-12|0.1 7-8|0.1.1.0.0 6-7|0 5-6|0.0 3-4|0.0.2 2-3|0.0.0 1-2|0.0.0.0 0-1|0.0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:43.476
# ::node	0	contrast-01	6-7
# ::node	0.0	comment-01	5-6
# ::node	0.0.0	night	2-3
# ::node	0.0.0.0	last	1-2
# ::node	0.0.0.1	virgin	0-1
# ::node	0.0.1	invest-01	26-27
# ::node	0.0.1.0	organize-01	30-31
# ::node	0.0.1.0.0	company	34-35
# ::node	0.0.1.0.1	exceed-01	17-18
# ::node	0.0.1.0.1.0	well	15-16
# ::node	0.0.1.1	large	25-26
# ::node	0.0.1.1.0	most	25-26
# ::node	0.0.2	refuse-01	3-4
# ::node	0.1	deal-01	11-12
# ::node	0.1.0	it	21-22
# ::node	0.1.1	worth	14-15
# ::node	0.1.1.0	possible	12-13
# ::node	0.1.1.0.0	estimate-01	7-8
# ::root	0	contrast-01
# ::edge	comment-01	ARG0	night	0.0	0.0.0	
# ::edge	comment-01	ARG1	invest-01	0.0	0.0.1	
# ::edge	contrast-01	ARG1	comment-01	0	0.0	
# ::edge	deal-01	ARG1	it	0.1	0.1.0	
# ::edge	deal-01	ARG2	contrast-01	0.1	0	
# ::edge	estimate-01	ARG1	possible	0.1.1.0.0	0.1.1.0	
# ::edge	exceed-01	ARG1	organize-01	0.0.1.0.1	0.0.1.0	
# ::edge	exceed-01	time	well	0.0.1.0.1	0.0.1.0.1.0	
# ::edge	invest-01	ARG1	organize-01	0.0.1	0.0.1.0	
# ::edge	invest-01	mod	large	0.0.1	0.0.1.1	
# ::edge	large	degree	most	0.0.1.1	0.0.1.1.0	
# ::edge	night	mod	last	0.0.0	0.0.0.0	
# ::edge	night	mod	virgin	0.0.0	0.0.0.1	
# ::edge	organize-01	ARG1	company	0.0.1.0	0.0.1.0.0	
# ::edge	possible	domain	worth	0.1.1.0	0.1.1	
# ::edge	refuse-01	ARG1	comment-01	0.0.2	0.0	
# ::edge	worth	domain	deal-01	0.1.1	0.1	
(c2 / contrast-01 
      :ARG1 (c3 / comment-01 
            :ARG0 (n / night 
                  :mod (l2 / last) 
                  :mod (v / virgin)) 
            :ARG1 (i / invest-01 
                  :ARG1 (o / organize-01 
                        :ARG1 (c / company) 
                        :ARG1-of (e / exceed-01 
                              :time (w / well))) 
                  :mod (l / large 
                        :degree (m / most))) 
            :ARG1-of (r / refuse-01)) 
      :ARG2-of (d / deal-01 
            :ARG1 (i2 / it) 
            :domain-of (w2 / worth 
                  :domain-of (p / possible 
                        :ARG1-of (e2 / estimate-01)))))

# ::snt since an excess of christmas spirit mostly alcoholic deprived this column last week of the scandals and maladministration that are its lifeblood i have been obliged to go back to the future
# ::tok since an excess of christmas spirit mostly alcoholic deprived this column last week of the scandals and maladministration that are its lifeblood i have been obliged to go back to the future
# ::alignments 31-32|0.0.0.0.0 28-29|0.2 25-26|0 22-23|0.1 21-22|0.0 16-17|0.0.0 12-13|0.0.0.1 11-12|0.0.0.1.1 10-11|0.0.0.1.0.0 9-10|0.0.0.1.0 7-8|0.0.0.0.1.0 6-7|0.0.0.0.1.0.0 5-6|0.0.0.0.1 2-3|0.0.0.0 0-1|0.0.0.0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:43.676
# ::node	0	oblige-02	25-26
# ::node	0.0	lifeblood	21-22
# ::node	0.0.0	and	16-17
# ::node	0.0.0.0	exceed-01	2-3
# ::node	0.0.0.0.0	future	31-32
# ::node	0.0.0.0.1	spirit	5-6
# ::node	0.0.0.0.1.0	alcohol	7-8
# ::node	0.0.0.0.1.0.0	most	6-7
# ::node	0.0.0.0.2	since	0-1
# ::node	0.0.0.1	week	12-13
# ::node	0.0.0.1.0	this	9-10
# ::node	0.0.0.1.0.0	column	10-11
# ::node	0.0.0.1.1	last	11-12
# ::node	0.1	i	22-23
# ::node	0.2	back	28-29
# ::root	0	oblige-02
# ::edge	alcohol	mod	most	0.0.0.0.1.0	0.0.0.0.1.0.0	
# ::edge	and	domain	lifeblood	0.0.0	0.0	
# ::edge	and	op1	exceed-01	0.0.0	0.0.0.0	
# ::edge	and	op2	week	0.0.0	0.0.0.1	
# ::edge	column	mod	this	0.0.0.1.0.0	0.0.0.1.0	
# ::edge	exceed-01	ARG0	future	0.0.0.0	0.0.0.0.0	
# ::edge	exceed-01	ARG1	spirit	0.0.0.0	0.0.0.0.1	
# ::edge	oblige-02	ARG0	lifeblood	0	0.0	
# ::edge	oblige-02	ARG1	i	0	0.1	
# ::edge	oblige-02	ARG2	back	0	0.2	
# ::edge	since	op1	exceed-01	0.0.0.0.2	0.0.0.0	
# ::edge	spirit	mod	alcohol	0.0.0.0.1	0.0.0.0.1.0	
# ::edge	week	mod	last	0.0.0.1	0.0.0.1.1	
# ::edge	week	mod	this	0.0.0.1	0.0.0.1.0	
(o / oblige-02 
      :ARG0 (l / lifeblood 
            :domain-of (a / and 
                  :op1 (e / exceed-01 
                        :ARG0 (f / future) 
                        :ARG1 (s / spirit 
                              :mod (a2 / alcohol 
                                    :mod (m / most))) 
                        :op-of (s2 / since)) 
                  :op2 (w / week 
                        :mod (t / this 
                              :mod-of (c / column)) 
                        :mod (l2 / last)))) 
      :ARG1 (i / i) 
      :ARG2 (b / back))

# ::snt but inflation was now running in excess of 8 per cent and average earnings were up to 11 per cent
# ::tok but inflation was now running in excess of 8 per cent and average earnings were up to 11 per cent
# ::alignments 19-20|0.0.0+0.0 17-18|0.1.0.0 13-14|0.3.1 11-12|0.3 10-11|0.3.0.0+0.3.0 8-9|0.1.0.1 6-7|0.1.0 3-4|0.2 1-2|0.1 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:43.876
# ::node	0	contrast-01	0-1
# ::node	0.0	monetary-quantity	19-20
# ::node	0.0.0	cent	19-20
# ::node	0.1	inflation	1-2
# ::node	0.1.0	exceed-01	6-7
# ::node	0.1.0.0	11	17-18
# ::node	0.1.0.1	8	8-9
# ::node	0.2	now	3-4
# ::node	0.3	and	11-12
# ::node	0.3.0	monetary-quantity	10-11
# ::node	0.3.0.0	cent	10-11
# ::node	0.3.1	earn-01	13-14
# ::root	0	contrast-01
# ::edge	and	op1	contrast-01	0.3	0	
# ::edge	and	op2	monetary-quantity	0.3	0.3.0	
# ::edge	and	op3	earn-01	0.3	0.3.1	
# ::edge	contrast-01	ARG0	monetary-quantity	0	0.0	
# ::edge	contrast-01	ARG1	inflation	0	0.1	
# ::edge	contrast-01	ARG2	now	0	0.2	
# ::edge	exceed-01	ARG0	11	0.1.0	0.1.0.0	
# ::edge	exceed-01	ARG1	inflation	0.1.0	0.1	
# ::edge	exceed-01	time	8	0.1.0	0.1.0.1	
# ::edge	monetary-quantity	unit	cent	0.0	0.0.0	
# ::edge	monetary-quantity	unit	cent	0.3.0	0.3.0.0	
(c3 / contrast-01 
      :ARG0 (m / monetary-quantity 
            :unit (c / cent)) 
      :ARG1 (i / inflation 
            :ARG1-of (e2 / exceed-01 
                  :ARG0 11 
                  :time 8)) 
      :ARG2 (n / now) 
      :op-of (a / and 
            :op1 (m2 / monetary-quantity 
                  :unit (c2 / cent)) 
            :op2 (e / earn-01)))

# ::snt reesmogg proved the point by showing that during 196573 the growth of m3 in excess of output growth averaged 9, but a similar comparison for the early thatcher years shows that whereas the average rate of growth of m3 in excess of output growth was about 14 per cent in the four years ending 1983 the average inflation rate was only about 6 per cent in the four years ending 1985
# ::tok reesmogg proved the point by showing that during 196573 the growth of m3 in excess of output growth averaged 9 , but a similar comparison for the early thatcher years shows that whereas the average rate of growth of m3 in excess of output growth was about 14 per cent in the four years ending 1983 the average inflation rate was only about 6 per cent in the four years ending 1985
# ::alignments 71-72|0.2.0.0.0.0.0.0.0.3.0.1.2.0+0.2.0.0.0.0.0.0.0.3.0.1.2 70-71|0.2.0.0.0.0.0.0.0.3.0.1 69-70|0.2.0.0.0.0.0.0.0.3.0.1.0.2+0.2.0.0.0.0.0.0.0.3.0.1.0 68-69|0.2.0.0.0.0.0.0.0.3.0.1.0.0 65-66|0.2.0.0.0.0.0.0.0.0.0+0.2.0.0.0.0.0.0.0.0 63-64|0.2.0.0.0.0.0.0.0.2.0 61-62|0.2.0.0.0.0.0.0.2 59-60|0.2.0.0.0.0.0.0.1 58-59|0.2.0.0.0.0.0.0.1.0 55-56|0.2.0.0.0.0.0.0.0.3.1+0.2.0.0.0.0.0.0.0.3 54-55|0.2.0.0.0.0.0.0.0.3.0 53-54|0.2.0.0.0.0.0.0.0.3.0.0.1+0.2.0.0.0.0.0.0.0.3.0.0 52-53|0.2.0.0.0.0.0.0.0.3.0.0.0 49-50|0.2.0.0.0.0.0.0.0.3.0.1.1.0+0.2.0.0.0.0.0.0.0.3.0.1.1 47-48|0.2.0.0.0.0.0.0.0.3.0.1.0.1 44-45|0.2.0.0.0.0.0.0.0 43-44|0.2.0.0.0.0.0.0.0.1 41-42|0.2.0.0.0.0.0.0.0.2 37-38|0.2.0.0.0.0.0.0 35-36|0.2.0.0.0.0.0 32-33|0.2.1.0 30-31|0.2 29-30|0.2.1.1+0.2.1.1.0 27-28|0.2.1.1.0.0 24-25|0.2.1 21-22|0 19-20|0.0 17-18|0.2.0.0.0 16-17|0.2.0.0 14-15|0.2.0.0.0.0 10-11|0.2.0 8-9|0.2.1.1.0.0.0.2+0.2.1.1.0.0.0.1+0.2.1.1.0.0.0.0+0.2.1.1.0.0.0 5-6|0.1 3-4|0.1.0.0 1-2|0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:48.793
# ::node	0	contrast-01	21-22
# ::node	0.0	9	19-20
# ::node	0.1	show-01	5-6
# ::node	0.1.0	prove-01	1-2
# ::node	0.1.0.0	point	3-4
# ::node	0.2	show-01	30-31
# ::node	0.2.0	grow-01	10-11
# ::node	0.2.0.0	output	16-17
# ::node	0.2.0.0.0	grow-01	17-18
# ::node	0.2.0.0.0.0	exceed-01	14-15
# ::node	0.2.0.0.0.0.0	rate	35-36
# ::node	0.2.0.0.0.0.0.0	grow-01	37-38
# ::node	0.2.0.0.0.0.0.0.0	grow-01	44-45
# ::node	0.2.0.0.0.0.0.0.0.0	monetary-quantity	65-66
# ::node	0.2.0.0.0.0.0.0.0.0.0	cent	65-66
# ::node	0.2.0.0.0.0.0.0.0.1	output	43-44
# ::node	0.2.0.0.0.0.0.0.0.2	exceed-01	41-42
# ::node	0.2.0.0.0.0.0.0.0.2.0	6	63-64
# ::node	0.2.0.0.0.0.0.0.0.3	date-entity	55-56
# ::node	0.2.0.0.0.0.0.0.0.3.0	end-01	54-55
# ::node	0.2.0.0.0.0.0.0.0.3.0.0	temporal-quantity	53-54
# ::node	0.2.0.0.0.0.0.0.0.3.0.0.0	4	52-53
# ::node	0.2.0.0.0.0.0.0.0.3.0.0.1	year	53-54
# ::node	0.2.0.0.0.0.0.0.0.3.0.1	end-01	70-71
# ::node	0.2.0.0.0.0.0.0.0.3.0.1.0	temporal-quantity	69-70
# ::node	0.2.0.0.0.0.0.0.0.3.0.1.0.0	4	68-69
# ::node	0.2.0.0.0.0.0.0.0.3.0.1.0.1	14	47-48
# ::node	0.2.0.0.0.0.0.0.0.3.0.1.0.2	year	69-70
# ::node	0.2.0.0.0.0.0.0.0.3.0.1.1	monetary-quantity	49-50
# ::node	0.2.0.0.0.0.0.0.0.3.0.1.1.0	cent	49-50
# ::node	0.2.0.0.0.0.0.0.0.3.0.1.2	date-entity	71-72
# ::node	0.2.0.0.0.0.0.0.0.3.0.1.2.0	1985	71-72
# ::node	0.2.0.0.0.0.0.0.0.3.1	1983	55-56
# ::node	0.2.0.0.0.0.0.0.1	rate	59-60
# ::node	0.2.0.0.0.0.0.0.1.0	inflation	58-59
# ::node	0.2.0.0.0.0.0.0.2	only	61-62
# ::node	0.2.1	compare-01	24-25
# ::node	0.2.1.0	whereas	32-33
# ::node	0.2.1.1	year	29-30
# ::node	0.2.1.1.0	temporal-quantity	29-30
# ::node	0.2.1.1.0.0	early	27-28
# ::node	0.2.1.1.0.0.0	date-entity	8-9
# ::node	0.2.1.1.0.0.0.0	73	8-9
# ::node	0.2.1.1.0.0.0.1	65	8-9
# ::node	0.2.1.1.0.0.0.2	19	8-9
# ::root	0	contrast-01
# ::edge	compare-01	ARG1	whereas	0.2.1	0.2.1.0	
# ::edge	compare-01	ARG2	year	0.2.1	0.2.1.1	
# ::edge	contrast-01	ARG1	9	0	0.0	
# ::edge	contrast-01	ARG2	show-01	0	0.2	
# ::edge	date-entity	day	73	0.2.1.1.0.0.0	0.2.1.1.0.0.0.0	
# ::edge	date-entity	month	65	0.2.1.1.0.0.0	0.2.1.1.0.0.0.1	
# ::edge	date-entity	year	19	0.2.1.1.0.0.0	0.2.1.1.0.0.0.2	
# ::edge	date-entity	year	1983	0.2.0.0.0.0.0.0.0.3	0.2.0.0.0.0.0.0.0.3.1	
# ::edge	date-entity	year	1985	0.2.0.0.0.0.0.0.0.3.0.1.2	0.2.0.0.0.0.0.0.0.3.0.1.2.0	
# ::edge	early	op1	date-entity	0.2.1.1.0.0	0.2.1.1.0.0.0	
# ::edge	early	quant	temporal-quantity	0.2.1.1.0.0	0.2.1.1.0	
# ::edge	end-01	ARG1	temporal-quantity	0.2.0.0.0.0.0.0.0.3.0	0.2.0.0.0.0.0.0.0.3.0.0	
# ::edge	end-01	ARG1	temporal-quantity	0.2.0.0.0.0.0.0.0.3.0.1	0.2.0.0.0.0.0.0.0.3.0.1.0	
# ::edge	end-01	ARG2	end-01	0.2.0.0.0.0.0.0.0.3.0	0.2.0.0.0.0.0.0.0.3.0.1	
# ::edge	end-01	time	date-entity	0.2.0.0.0.0.0.0.0.3.0	0.2.0.0.0.0.0.0.0.3	
# ::edge	end-01	time	date-entity	0.2.0.0.0.0.0.0.0.3.0.1	0.2.0.0.0.0.0.0.0.3.0.1.2	
# ::edge	exceed-01	ARG0	6	0.2.0.0.0.0.0.0.0.2	0.2.0.0.0.0.0.0.0.2.0	
# ::edge	exceed-01	ARG0	rate	0.2.0.0.0.0	0.2.0.0.0.0.0	
# ::edge	exceed-01	ARG1	grow-01	0.2.0.0.0.0	0.2.0.0.0	
# ::edge	exceed-01	ARG1	grow-01	0.2.0.0.0.0.0.0.0.2	0.2.0.0.0.0.0.0.0	
# ::edge	grow-01	ARG0	monetary-quantity	0.2.0.0.0.0.0.0.0	0.2.0.0.0.0.0.0.0.0	
# ::edge	grow-01	ARG1	output	0.2.0	0.2.0.0	
# ::edge	grow-01	ARG1	output	0.2.0.0.0	0.2.0.0	
# ::edge	grow-01	ARG1	output	0.2.0.0.0.0.0.0.0	0.2.0.0.0.0.0.0.0.1	
# ::edge	grow-01	manner	grow-01	0.2.0.0.0.0.0.0	0.2.0.0.0.0.0.0.0	
# ::edge	grow-01	time	date-entity	0.2.0.0.0.0.0.0.0	0.2.0.0.0.0.0.0.0.3	
# ::edge	monetary-quantity	op1	end-01	0.2.0.0.0.0.0.0.0.3.0.1.1	0.2.0.0.0.0.0.0.0.3.0.1	
# ::edge	monetary-quantity	unit	cent	0.2.0.0.0.0.0.0.0.0	0.2.0.0.0.0.0.0.0.0.0	
# ::edge	monetary-quantity	unit	cent	0.2.0.0.0.0.0.0.0.3.0.1.1	0.2.0.0.0.0.0.0.0.3.0.1.1.0	
# ::edge	only	op1	grow-01	0.2.0.0.0.0.0.0.2	0.2.0.0.0.0.0.0	
# ::edge	prove-01	ARG1	point	0.1.0	0.1.0.0	
# ::edge	prove-01	ARG2	show-01	0.1.0	0.1	
# ::edge	rate	mod	grow-01	0.2.0.0.0.0.0	0.2.0.0.0.0.0.0	
# ::edge	rate	mod	grow-01	0.2.0.0.0.0.0.0.1	0.2.0.0.0.0.0.0	
# ::edge	rate	mod	inflation	0.2.0.0.0.0.0.0.1	0.2.0.0.0.0.0.0.1.0	
# ::edge	show-01	ARG0	grow-01	0.2	0.2.0	
# ::edge	show-01	ARG1	contrast-01	0.1	0	
# ::edge	show-01	manner	compare-01	0.2	0.2.1	
# ::edge	temporal-quantity	quant	14	0.2.0.0.0.0.0.0.0.3.0.1.0	0.2.0.0.0.0.0.0.0.3.0.1.0.1	
# ::edge	temporal-quantity	quant	4	0.2.0.0.0.0.0.0.0.3.0.0	0.2.0.0.0.0.0.0.0.3.0.0.0	
# ::edge	temporal-quantity	quant	4	0.2.0.0.0.0.0.0.0.3.0.1.0	0.2.0.0.0.0.0.0.0.3.0.1.0.0	
# ::edge	temporal-quantity	unit	year	0.2.0.0.0.0.0.0.0.3.0.0	0.2.0.0.0.0.0.0.0.3.0.0.1	
# ::edge	temporal-quantity	unit	year	0.2.0.0.0.0.0.0.0.3.0.1.0	0.2.0.0.0.0.0.0.0.3.0.1.0.2	
# ::edge	temporal-quantity	unit	year	0.2.1.1.0	0.2.1.1	
(c4 / contrast-01 
      :ARG1 9 
      :ARG1-of (s2 / show-01 
            :ARG2-of (p2 / prove-01 
                  :ARG1 (p / point))) 
      :ARG2 (s / show-01 
            :ARG0 (g4 / grow-01 
                  :ARG1 (o3 / output 
                        :ARG1-of (g3 / grow-01 
                              :ARG1-of (e5 / exceed-01 
                                    :ARG0 (r2 / rate 
                                          :mod (g2 / grow-01 
                                                :manner (g / grow-01 
                                                      :ARG0 (m / monetary-quantity 
                                                            :unit (c / cent)) 
                                                      :ARG1 (o2 / output) 
                                                      :ARG1-of (e3 / exceed-01 
                                                            :ARG0 6) 
                                                      :time (d2 / date-entity 
                                                            :time-of (e2 / end-01 
                                                                  :ARG1 (t2 / temporal-quantity 
                                                                        :quant 4 
                                                                        :unit (y2 / year)) 
                                                                  :ARG2 (e / end-01 
                                                                        :ARG1 (t / temporal-quantity 
                                                                              :quant 4 
                                                                              :quant 14 
                                                                              :unit (y / year)) 
                                                                        :op-of (m2 / monetary-quantity 
                                                                              :unit (c2 / cent)) 
                                                                        :time (d / date-entity 
                                                                              :year 1985))) 
                                                            :year 1983)) 
                                                :mod-of (r / rate 
                                                      :mod (i / inflation)) 
                                                :op-of (o / only))))))) 
            :manner (c3 / compare-01 
                  :ARG1 (w / whereas) 
                  :ARG2 (y3 / year 
                        :unit-of (t3 / temporal-quantity 
                              :quant-of (e4 / early 
                                    :op1 (d3 / date-entity 
                                          :day 73 
                                          :month 65 
                                          :year 19)))))))

# ::snt the latest governmentinitiated enquiry into the incidence of leukaemia in children in the sellafield area shows a tenfold excess over what would normally be expected
# ::tok the latest governmentinitiated enquiry into the incidence of leukaemia in children in the sellafield area shows a tenfold excess over what would normally be expected
# ::alignments 24-25|0.1.1 22-23|0.1.1.1 18-19|0.1 15-16|0 14-15|0.0 10-11|0.1.0 1-2|0.1.1.0.0+0.1.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:48.955
# ::node	0	show-01	15-16
# ::node	0.0	area	14-15
# ::node	0.1	exceed-01	18-19
# ::node	0.1.0	child	10-11
# ::node	0.1.1	expect-01	24-25
# ::node	0.1.1.0	late	1-2
# ::node	0.1.1.0.0	most	1-2
# ::node	0.1.1.1	normal	22-23
# ::root	0	show-01
# ::edge	exceed-01	ARG0	child	0.1	0.1.0	
# ::edge	exceed-01	ARG1	expect-01	0.1	0.1.1	
# ::edge	expect-01	ARG1	late	0.1.1	0.1.1.0	
# ::edge	expect-01	mod	normal	0.1.1	0.1.1.1	
# ::edge	late	degree	most	0.1.1.0	0.1.1.0.0	
# ::edge	show-01	ARG0	area	0	0.0	
# ::edge	show-01	ARG1	exceed-01	0	0.1	
(s / show-01 
      :ARG0 (a / area) 
      :ARG1 (e2 / exceed-01 
            :ARG0 (c / child) 
            :ARG1 (e / expect-01 
                  :ARG1 (l / late 
                        :degree (m / most)) 
                  :mod (n / normal))))

# ::snt for when the lack of savings is bemoaned what is actually complained of is the excess of spending
# ::tok for when the lack of savings is bemoaned what is actually complained of is the excess of spending
# ::alignments 17-18|0.0.0.0 15-16|0.0.0 11-12|0.0 10-11|0.0.1 3-4|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:48.986
# ::node	0	lack-01	3-4
# ::node	0.0	complain-01	11-12
# ::node	0.0.0	exceed-01	15-16
# ::node	0.0.0.0	spend-01	17-18
# ::node	0.0.1	actual	10-11
# ::root	0	lack-01
(l / lack-01 
      :ARG0-of (c / complain-01 
            :ARG1 (e / exceed-01 
                  :ARG1 (s / spend-01)) 
            :mod (a / actual)))

# ::snt in each of these cases the majority of farmers have less than 1 hectare under the relevant crop but most achieve levels of income well in excess of their neighbours who remain outside the projects
# ::tok in each of these cases the majority of farmers have less than 1 hectare under the relevant crop but most achieve levels of income well in excess of their neighbours who remain outside the projects
